fill	x	y	clickSelects	showSelected2	showSelected3
#F6F4BF	3.11443177349587	2	McGill0011	29	false.positive
#F6F4BF	0.0157294534014943	3	McGill0004	29	false.positive
#F6F4BF	3.68855682265041	3	McGill0005	29	false.positive
#F6F4BF	2.17852929610696	3	McGill0006	29	false.positive
#F6F4BF	0.935902477388911	3	McGill0007	29	false.positive
#F6F4BF	0.0314589068029886	3	McGill0008	29	false.positive
#F6F4BF	0.141565080613449	3	McGill0009	29	false.positive
#F6F4BF	0.0943767204089658	3	McGill0010	29	false.positive
#F6F4BF	0.00786472670074715	3	McGill0011	29	false.positive
#F6F4BF	10.1140385371608	4	McGill0004	29	false.positive
#F6F4BF	2.50098309083759	4	McGill0005	29	false.positive
#F6F4BF	27.0782540306724	4	McGill0006	29	false.positive
#F6F4BF	9.99606763664963	4	McGill0007	29	false.positive
#F6F4BF	2.96500196618168	4	McGill0008	29	false.positive
#F6F4BF	3.64923318914668	4	McGill0009	29	false.positive
#F6F4BF	16.0047188360204	4	McGill0010	29	false.positive
#F6F4BF	4.85253637436099	4	McGill0011	29	false.positive
#F6F4BF	5.54463232402674	5	McGill0004	29	false.positive
#F6F4BF	0.0393236335037357	5	McGill0005	29	false.positive
#F6F4BF	17.0428627605191	5	McGill0006	29	false.positive
#F6F4BF	0.44042469524184	5	McGill0007	29	false.positive
#F6F4BF	0.432559968541093	5	McGill0008	29	false.positive
#F6F4BF	0.259535981124656	5	McGill0009	29	false.positive
#F6F4BF	1.02241447109713	5	McGill0010	29	false.positive
#F6F4BF	0.825796303578451	5	McGill0011	29	false.positive
#F6F4BF	0.0865119937082186	1	McGill0004	34	false.positive
#F6F4BF	0.00786472670074715	1	McGill0005	34	false.positive
#F6F4BF	2.24144710971294	1	McGill0006	34	false.positive
#F6F4BF	0.133700353912702	1	McGill0007	34	false.positive
#F6F4BF	0.00786472670074715	1	McGill0008	34	false.positive
#F6F4BF	0.102241447109713	1	McGill0009	34	false.positive
#F6F4BF	0.267400707825403	1	McGill0010	34	false.positive
#F6F4BF	0.574125049154542	1	McGill0011	34	false.positive
#F6F4BF	0.16515926071569	2	McGill0004	34	false.positive
#F6F4BF	1.87966968147857	2	McGill0006	34	false.positive
#F6F4BF	0.33031852143138	2	McGill0007	34	false.positive
#F6F4BF	0.141565080613449	2	McGill0008	34	false.positive
#F6F4BF	0.519071962249312	2	McGill0009	34	false.positive
#F6F4BF	0.841525756979945	2	McGill0010	34	false.positive
#F6F4BF	3.44475029492725	2	McGill0011	34	false.positive
#F6F4BF	0.16515926071569	3	McGill0004	34	false.positive
#F6F4BF	3.94022807707432	3	McGill0005	34	false.positive
#F6F4BF	2.22571765631144	3	McGill0006	34	false.positive
#F6F4BF	1.47070389303972	3	McGill0007	34	false.positive
#F6F4BF	0.228077074321667	3	McGill0008	34	false.positive
#F6F4BF	0.251671254423909	3	McGill0009	34	false.positive
#F6F4BF	0.912308297286669	3	McGill0010	34	false.positive
#F6F4BF	0.0314589068029886	3	McGill0011	34	false.positive
#F6F4BF	7.01533621706646	4	McGill0004	34	false.positive
#F6F4BF	1.91112858828156	4	McGill0005	34	false.positive
#F6F4BF	26.1187573731813	4	McGill0006	34	false.positive
#F6F4BF	7.66810853322847	4	McGill0007	34	false.positive
#F6F4BF	2.49311836413685	4	McGill0008	34	false.positive
#F6F4BF	3.53126228863547	4	McGill0009	34	false.positive
#F6F4BF	13.9127015336217	4	McGill0010	34	false.positive
#F6F4BF	4.16830515139599	4	McGill0011	34	false.positive
#F6F4BF	5.49744396382226	5	McGill0004	34	false.positive
#F6F4BF	0.0707825403067244	5	McGill0005	34	false.positive
#F6F4BF	16.484467164766	5	McGill0006	34	false.positive
#F6F4BF	0.49547778214707	5	McGill0007	34	false.positive
#F6F4BF	0.204482894219426	5	McGill0008	34	false.positive
#F6F4BF	0.173023987416437	5	McGill0009	34	false.positive
#F6F4BF	0.967361384191899	5	McGill0010	34	false.positive
#F6F4BF	0.448289421942588	5	McGill0011	34	false.positive
#F6F4BF	0.11010617381046	1	McGill0004	38	false.positive
#F6F4BF	0.0235941801022415	1	McGill0005	38	false.positive
#F6F4BF	1.47070389303972	1	McGill0006	38	false.positive
#F6F4BF	0.251671254423909	1	McGill0007	38	false.positive
#F6F4BF	0.0157294534014943	1	McGill0008	38	false.positive
#F6F4BF	0.141565080613449	1	McGill0009	38	false.positive
#F6F4BF	0.141565080613449	1	McGill0010	38	false.positive
#F6F4BF	0.212347620920173	1	McGill0011	38	false.positive
#F6F4BF	0.102241447109713	2	McGill0004	38	false.positive
#F6F4BF	1.5178922532442	2	McGill0006	38	false.positive
#F6F4BF	0.251671254423909	2	McGill0007	38	false.positive
#F6F4BF	0.157294534014943	2	McGill0008	38	false.positive
#F6F4BF	0.314589068029886	2	McGill0009	38	false.positive
#F6F4BF	0.401101061738105	2	McGill0010	38	false.positive
#F6F4BF	3.07510813999214	2	McGill0011	38	false.positive
#F6F4BF	0.306724341329139	3	McGill0004	38	false.positive
#F6F4BF	4.14471097129375	3	McGill0005	38	false.positive
#F6F4BF	2.31222965001966	3	McGill0006	38	false.positive
#F6F4BF	2.28863546991742	3	McGill0007	38	false.positive
#F6F4BF	0.432559968541093	3	McGill0008	38	false.positive
#F6F4BF	0.212347620920173	3	McGill0009	38	false.positive
#F6F4BF	1.22689736531656	3	McGill0010	38	false.positive
#F6F4BF	0.11010617381046	3	McGill0011	38	false.positive
#F6F4BF	4.85253637436099	4	McGill0004	38	false.positive
#F6F4BF	1.28195045222179	4	McGill0005	38	false.positive
#F6F4BF	24.2941407786079	4	McGill0006	38	false.positive
#F6F4BF	7.32992528509634	4	McGill0007	38	false.positive
#F6F4BF	1.56508061344868	4	McGill0008	38	false.positive
#F6F4BF	3.37396775462053	4	McGill0009	38	false.positive
#F6F4BF	12.2532441997641	4	McGill0010	38	false.positive
#F6F4BF	3.33464412111679	4	McGill0011	38	false.positive
#F6F4BF	5.1042076287849	5	McGill0004	38	false.positive
#F6F4BF	0.11010617381046	5	McGill0005	38	false.positive
#F6F4BF	15.8081006685018	5	McGill0006	38	false.positive
#F6F4BF	0.998820290994888	5	McGill0007	38	false.positive
#F6F4BF	0.117970900511207	5	McGill0008	38	false.positive
#F6F4BF	0.22021234762092	5	McGill0009	38	false.positive
#F6F4BF	0.920173023987416	5	McGill0010	38	false.positive
#F6F4BF	0.464018875344082	5	McGill0011	38	false.positive
#F6F4BF	0.0707825403067244	1	McGill0004	42	false.positive
