y	x	label	showSelected1	showSelected2	showSelected3	group
1.05	0.55402508872413	5001/41282=12.1% false positive bases	54	McGill0002	McGill0012	46
1.05	0.55402508872413	2767/41282=6.7% false positive bases	54	McGill0002	McGill0013	47
1.05	0.55402508872413	4671/41282=11.3% false positive bases	54	McGill0002	McGill0014	48
1.05	0.55402508872413	7888/41282=19.1% false positive bases	54	McGill0002	McGill0015	49
1.05	0.55402508872413	7076/41282=17.1% false positive bases	54	McGill0002	McGill0016	50
1.05	0.55402508872413	2236/41282=5.4% false positive bases	58	McGill0001	McGill0012	41
1.05	0.55402508872413	1762/41282=4.3% false positive bases	58	McGill0001	McGill0013	42
1.05	0.55402508872413	2332/41282=5.6% false positive bases	58	McGill0001	McGill0014	43
1.05	0.55402508872413	2669/41282=6.5% false positive bases	58	McGill0001	McGill0015	44
1.05	0.55402508872413	3213/41282=7.8% false positive bases	58	McGill0001	McGill0016	45
1.05	0.55402508872413	4241/41282=10.3% false positive bases	58	McGill0002	McGill0012	46
1.05	0.55402508872413	2363/41282=5.7% false positive bases	58	McGill0002	McGill0013	47
1.05	0.55402508872413	3793/41282=9.2% false positive bases	58	McGill0002	McGill0014	48
1.05	0.55402508872413	5712/41282=13.8% false positive bases	58	McGill0002	McGill0015	49
1.05	0.55402508872413	5398/41282=13.1% false positive bases	58	McGill0002	McGill0016	50
1.05	0.55402508872413	2536/41282=6.1% false positive bases	62	McGill0001	McGill0012	41
1.05	0.55402508872413	1900/41282=4.6% false positive bases	62	McGill0001	McGill0013	42
1.05	0.55402508872413	2820/41282=6.8% false positive bases	62	McGill0001	McGill0014	43
1.05	0.55402508872413	2450/41282=5.9% false positive bases	62	McGill0001	McGill0015	44
1.05	0.55402508872413	3445/41282=8.3% false positive bases	62	McGill0001	McGill0016	45
1.05	0.55402508872413	4907/41282=11.9% false positive bases	62	McGill0002	McGill0012	46
1.05	0.55402508872413	2416/41282=5.9% false positive bases	62	McGill0002	McGill0013	47
1.05	0.55402508872413	4566/41282=11.1% false positive bases	62	McGill0002	McGill0014	48
1.05	0.55402508872413	5989/41282=14.5% false positive bases	62	McGill0002	McGill0015	49
1.05	0.55402508872413	5759/41282=14.0% false positive bases	62	McGill0002	McGill0016	50
1.05	0.55402508872413	3012/41282=7.3% false positive bases	67	McGill0001	McGill0012	41
1.05	0.55402508872413	2142/41282=5.2% false positive bases	67	McGill0001	McGill0013	42
1.05	0.55402508872413	2989/41282=7.2% false positive bases	67	McGill0001	McGill0014	43
1.05	0.55402508872413	2438/41282=5.9% false positive bases	67	McGill0001	McGill0015	44
1.05	0.55402508872413	3389/41282=8.2% false positive bases	67	McGill0001	McGill0016	45
1.05	0.55402508872413	5560/41282=13.5% false positive bases	67	McGill0002	McGill0012	46
1.05	0.55402508872413	2994/41282=7.3% false positive bases	67	McGill0002	McGill0013	47
1.05	0.55402508872413	5344/41282=12.9% false positive bases	67	McGill0002	McGill0014	48
1.05	0.55402508872413	6082/41282=14.7% false positive bases	67	McGill0002	McGill0015	49
1.05	0.55402508872413	5980/41282=14.5% false positive bases	67	McGill0002	McGill0016	50
1.05	0.55402508872413	3454/41282=8.4% false positive bases	71	McGill0001	McGill0012	41
1.05	0.55402508872413	2252/41282=5.5% false positive bases	71	McGill0001	McGill0013	42
1.05	0.55402508872413	3104/41282=7.5% false positive bases	71	McGill0001	McGill0014	43
1.05	0.55402508872413	2435/41282=5.9% false positive bases	71	McGill0001	McGill0015	44
1.05	0.55402508872413	3270/41282=7.9% false positive bases	71	McGill0001	McGill0016	45
1.05	0.55402508872413	5861/41282=14.2% false positive bases	71	McGill0002	McGill0012	46
1.05	0.55402508872413	3703/41282=9.0% false positive bases	71	McGill0002	McGill0013	47
1.05	0.55402508872413	5773/41282=14.0% false positive bases	71	McGill0002	McGill0014	48
1.05	0.55402508872413	6015/41282=14.6% false positive bases	71	McGill0002	McGill0015	49
1.05	0.55402508872413	6238/41282=15.1% false positive bases	71	McGill0002	McGill0016	50
1.05	0.55402508872413	3595/41282=8.7% false positive bases	75	McGill0001	McGill0012	41
1.05	0.55402508872413	2369/41282=5.7% false positive bases	75	McGill0001	McGill0013	42
1.05	0.55402508872413	3246/41282=7.9% false positive bases	75	McGill0001	McGill0014	43
1.05	0.55402508872413	2390/41282=5.8% false positive bases	75	McGill0001	McGill0015	44
1.05	0.55402508872413	3204/41282=7.8% false positive bases	75	McGill0001	McGill0016	45
1.05	0.55402508872413	6167/41282=14.9% false positive bases	75	McGill0002	McGill0012	46
1.05	0.55402508872413	4328/41282=10.5% false positive bases	75	McGill0002	McGill0013	47
1.05	0.55402508872413	6222/41282=15.1% false positive bases	75	McGill0002	McGill0014	48
1.05	0.55402508872413	6064/41282=14.7% false positive bases	75	McGill0002	McGill0015	49
1.05	0.55402508872413	6319/41282=15.3% false positive bases	75	McGill0002	McGill0016	50
1.05	0.55402508872413	3637/41282=8.8% false positive bases	79	McGill0001	McGill0012	41
1.05	0.55402508872413	2416/41282=5.9% false positive bases	79	McGill0001	McGill0013	42
1.05	0.55402508872413	3205/41282=7.8% false positive bases	79	McGill0001	McGill0014	43
1.05	0.55402508872413	2278/41282=5.5% false positive bases	79	McGill0001	McGill0015	44
1.05	0.55402508872413	3163/41282=7.7% false positive bases	79	McGill0001	McGill0016	45
1.05	0.55402508872413	6230/41282=15.1% false positive bases	79	McGill0002	McGill0012	46
1.05	0.55402508872413	4509/41282=10.9% false positive bases	79	McGill0002	McGill0013	47
1.05	0.55402508872413	6290/41282=15.2% false positive bases	79	McGill0002	McGill0014	48
1.05	0.55402508872413	6015/41282=14.6% false positive bases	79	McGill0002	McGill0015	49
1.05	0.55402508872413	6068/41282=14.7% false positive bases	79	McGill0002	McGill0016	50
1.05	0.55402508872413	3452/41282=8.4% false positive bases	83	McGill0001	McGill0012	41
1.05	0.55402508872413	2264/41282=5.5% false positive bases	83	McGill0001	McGill0013	42
1.05	0.55402508872413	3027/41282=7.3% false positive bases	83	McGill0001	McGill0014	43
1.05	0.55402508872413	2129/41282=5.2% false positive bases	83	McGill0001	McGill0015	44
1.05	0.55402508872413	2970/41282=7.2% false positive bases	83	McGill0001	McGill0016	45
1.05	0.55402508872413	5978/41282=14.5% false positive bases	83	McGill0002	McGill0012	46
1.05	0.55402508872413	3974/41282=9.6% false positive bases	83	McGill0002	McGill0013	47
1.05	0.55402508872413	5931/41282=14.4% false positive bases	83	McGill0002	McGill0014	48
